# h00,h01,h02,h10,h11,h12,h20,h21,h22
-5.214180873736040667e-07,-6.836584134362055920e-07,2.134678744880602608e-08,-3.759834896754910005e-07,-7.057178095237759408e-07,6.880280807308736257e-07,9.255127793039719108e-07,9.977762829294078983e-07,1.610831759535358287e-06
3.325393656268715858e-03,-1.337694749236106873e-02,-4.192017763853073120e-02,-2.667290158569812775e-02,8.231517672538757324e-02,-1.927232928574085236e-02,-4.679349064826965332e-02,3.666660562157630920e-02,-5.998835340142250061e-02
2.559912949800491333e-02,1.917616464197635651e-02,4.707916453480720520e-02,7.160577457398176193e-03,-6.893977522850036621e-02,-3.498578909784555435e-03,8.159806951880455017e-03,3.631740575656294823e-03,1.665377058088779449e-02
2.302771434187889099e-03,2.499500662088394165e-02,-2.763970568776130676e-02,-1.413072086870670319e-02,-1.457980554550886154e-02,1.162481401115655899e-02,4.092464223504066467e-03,7.335003465414047241e-02,5.654105916619300842e-02
8.537511341273784637e-03,3.098588204011321068e-03,-8.721286430954933167e-03,8.015790954232215881e-03,-1.506447698920965195e-02,-1.236911164596676826e-03,1.594169437885284424e-02,4.692519549280405045e-03,1.916390657424926758e-02
1.607586070895195007e-02,-1.212918199598789215e-02,-2.242799662053585052e-02,-8.448270149528980255e-03,-6.353057920932769775e-02,-9.835978562477976084e-05,9.258488193154335022e-03,-2.499828115105628967e-04,4.604024346917867661e-03
1.325197517871856689e-02,1.207008492201566696e-02,6.644160300493240356e-02,6.252455711364746094e-02,-1.037074252963066101e-01,-1.163747347891330719e-02,-1.144789718091487885e-02,-7.831967622041702271e-02,-1.098617445677518845e-02
-4.372625425457954407e-02,-8.382623642683029175e-02,1.231571380048990250e-02,-5.026042833924293518e-02,5.422495305538177490e-03,-9.114427492022514343e-03,-4.535816609859466553e-02,-1.368835754692554474e-02,-4.872220009565353394e-02
1.684774644672870636e-02,1.120445430278778076e-01,4.799116030335426331e-02,-3.591866046190261841e-02,-5.340553354471921921e-03,3.799923136830329895e-02,-4.530088230967521667e-02,-5.700418259948492050e-03,2.740454301238059998e-02
-9.694990701973438263e-03,-1.098839100450277328e-03,-5.439058318734169006e-02,-4.877585545182228088e-02,2.232866734266281128e-02,-4.663427919149398804e-02,-2.648741565644741058e-02,-2.776198089122772217e-02,-6.342739611864089966e-02
7.786416262388229370e-02,2.898484282195568085e-02,6.826902925968170166e-02,2.072612196207046509e-02,-5.437117815017700195e-02,1.894302479922771454e-02,4.182722046971321106e-02,3.936851024627685547e-02,1.490772701799869537e-02
2.495655603706836700e-02,-3.773038089275360107e-02,-7.479167729616165161e-02,8.984260261058807373e-02,-4.121850430965423584e-01,-4.327489435672760010e-02,-2.475409023463726044e-02,4.657998308539390564e-02,2.933369018137454987e-02
-4.314651340246200562e-02,4.373633116483688354e-02,-6.901779025793075562e-02,-5.367072764784097672e-03,2.939359098672866821e-02,-2.820036187767982483e-02,4.938319325447082520e-02,-3.911454230546951294e-02,-4.471259191632270813e-03
-1.170893432572484016e-03,3.628487884998321533e-02,6.233432516455650330e-02,-4.344779625535011292e-02,-1.218438744544982910e-01,3.606387600302696228e-02,4.582280758768320084e-03,4.309438169002532959e-02,5.116414278745651245e-03
3.660028427839279175e-02,-7.121119182556867599e-03,-3.928197547793388367e-03,-8.430568850599229336e-04,-8.077806234359741211e-02,-7.309068925678730011e-03,3.863849490880966187e-02,4.096377640962600708e-02,4.870996624231338501e-02
-3.144403174519538879e-02,3.880629688501358032e-02,-1.082319207489490509e-02,-6.277579069137573242e-02,-4.434648156166076660e-02,9.081555530428886414e-03,-1.457043830305337906e-02,1.262208670377731323e-01,5.877044796943664551e-02
-9.800584055483341217e-03,1.680396869778633118e-02,1.314515247941017151e-02,-7.819414138793945312e-03,-1.181508973240852356e-01,6.317524239420890808e-03,1.883384212851524353e-02,-7.637968659400939941e-02,-1.086647249758243561e-02
-2.721841447055339813e-02,-2.770217694342136383e-02,-6.241845339536666870e-02,2.462545968592166901e-02,-2.524834275245666504e-01,-3.818390071392059326e-01,-3.006102330982685089e-02,7.976859807968139648e-03,-5.674051493406295776e-02
1.163325854577124119e-03,-4.404607415199279785e-02,-1.334525179117918015e-02,-3.163954988121986389e-02,-1.395368725061416626e-01,-5.421842262148857117e-02,3.638642653822898865e-02,-3.992770612239837646e-02,2.795614115893840790e-02
2.302634343504905701e-02,7.342636119574308395e-03,-9.269043803215026855e-03,-2.167321690649259835e-05,-5.810284614562988281e-02,-1.593351550400257111e-02,1.796256378293037415e-02,6.354435533285140991e-02,4.460441321134567261e-02
9.423119015991687775e-03,-1.274782791733741760e-02,-1.797206141054630280e-02,-1.634349860250949860e-02,-4.373773932456970215e-02,-2.158267237246036530e-02,2.798916026949882507e-02,6.573569774627685547e-02,-3.716311417520046234e-03
5.719039589166641235e-03,-1.451371796429157257e-02,-2.413942944258451462e-03,-2.131469175219535828e-02,-4.886043816804885864e-02,1.475589442998170853e-02,1.925363764166831970e-02,5.403739586472511292e-02,3.740435466170310974e-02
-4.935918375849723816e-03,2.640822529792785645e-02,3.302705660462379456e-02,-3.141465829685330391e-03,1.358327362686395645e-02,2.230805903673171997e-02,3.526939451694488525e-02,7.819300889968872070e-02,6.057603657245635986e-02
-1.593431875335227232e-08,-6.376553951525920638e-09,2.971767054660290341e-09,-1.236252611391819300e-08,-2.178976332700699459e-09,5.952575765633127958e-09,-6.376503325355997731e-09,4.260398145383703650e-10,7.197844098527639289e-09
-8.764281868934631348e-03,7.836571335792541504e-02,-6.301649846136569977e-03,-1.853256300091743469e-02,1.957129314541816711e-02,-9.693451225757598877e-03,-1.383042056113481522e-02,6.224047392606735229e-02,4.609638080000877380e-02
-6.343067848746386517e-09,-8.964401665423338272e-09,2.096546047880565311e-09,-8.323975397850347235e-10,-2.876976712418155557e-10,6.578119160494111384e-10,-4.010210830074356636e-09,5.314991780025479784e-10,7.304598259594285992e-09
-1.514535583555698395e-02,-6.108975503593683243e-03,3.233028575778007507e-02,8.688339591026306152e-02,-2.960585355758666992e-01,-2.822324633598327637e-02,3.631509467959403992e-02,-5.156236514449119568e-02,-3.836102411150932312e-02
5.395594239234924316e-02,5.754414573311805725e-02,3.848049044609069824e-02,6.774716824293136597e-02,-1.612688601016998291e-02,5.631480365991592407e-02,9.881913661956787109e-03,6.758963316679000854e-02,3.647018224000930786e-02
